,id,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022
0,00073cc2-c801-c67c-d039-fca63c78c6a9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,18318.0,12986.0,13430.0,14961.0,33786.0,13865.0,8333.0,14324.0,8987.0,9249.0,23922.0,14355.0,19123.0,15216.14
1,000b6710-f8b4-ddd4-1913-90c7d424fccf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6731.0,19857.0,9563.0,15185.0,23694.0,20730.0,24132.0,21697.0,12819.0,12430.0,23740.0,15545.0,10373.0,11266.0,27381.0,34142.0,20657.39
2,00183cfe-ceb0-9220-7984-f33f61c61ae4,25306.0,66821.0,29863.0,16683.0,17840.0,28347.0,22252.0,17035.0,51444.0,40477.0,25312.0,28771.0,11361.0,32400.0,45980.0,47490.0,28176.0,36912.0,59514.0,12603.0,34045.0,38803.0,36756.0,35764.0,35387.64
3,001b10c4-0ec1-68c9-a059-0a44159119bd,6222.0,23162.0,49788.0,5444.0,13920.0,7275.0,51408.0,9703.0,14058.0,24260.0,11674.0,39841.0,9369.0,27770.0,13259.0,10993.0,24106.0,7524.0,2438.0,10663.0,5352.0,49218.0,5118.0,13496.0,15837.35
4,001cfd71-1996-2ffe-d382-4e7cd476ef88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39937.0,8176.0
5,0021b632-3246-b7d9-bb29-66398e4a295d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12683.0,25196.0,9284.0,26909.0,14903.0,18817.0,25934.0,14026.0,11385.0,28262.0,22745.0,18722.0,19964.0,17492.0,24533.0,29253.0,23584.0,22150.14
6,002b2f92-8dc5-7bd9-6689-ef79f8c3c461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8162.0,18170.0,7387.0,14925.0,19359.0,15181.0,10569.0,27922.0,3113.0,11999.47
7,002f9cc4-096b-faff-f5b7-751f497e28aa,23086.0,13545.0,11678.0,23437.0,15861.0,41654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.62
8,0030f3fb-01f7-1027-555c-7e9f7a793d3e,16791.0,30976.0,17258.0,32279.0,26126.0,35139.0,9749.0,14746.0,36343.0,64664.0,41254.0,38756.0,24844.0,33525.0,65618.0,25312.0,78102.0,28384.0,35441.0,30199.0,76586.0,74297.0,42418.0,33747.0,46677.52
9,003c6ab8-2d19-8cf0-8d43-8259815f9e34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15200.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.22
10,0042d740-0c34-a39f-ed44-e0f06a9e72f8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12550.0,33762.0,41374.0,15478.5
11,00513063-020a-ca12-055d-fed45fa7cb00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21802.0,4096.0,15796.0,3646.0,4034.0,7759.0,11348.0,8987.0,8607.0,18318.0,20662.0,11743.0,11876.0,11987.58
